Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2019,12,51,Maison-Blanche,3,Apres 1990,meublé,26.3,31.6,18.4,PARIS,7511351
2024,5,53,Montparnasse,4,1971-1990,non meublé,22.0,26.4,15.4,PARIS,7511453
2019,13,50,Gare,4,1971-1990,non meublé,15.3,18.4,10.7,PARIS,7511350
2024,5,2,Halles,1,Apres 1990,non meublé,28.8,34.6,20.2,PARIS,7510102
2021,11,39,Porte-Saint-Martin,3,1946-1970,non meublé,19.2,23.04,13.44,PARIS,7511039
2019,2,16,Notre-Dame,2,Avant 1946,non meublé,27.9,33.5,19.5,PARIS,7510416
2019,4,14,Saint-Gervais,2,Apres 1990,meublé,28.7,34.4,20.1,PARIS,7510414
2025,5,2,Halles,2,1971-1990,meublé,30.0,36.0,21.0,PARIS,7510102
2019,2,24,Saint-Germain-des-Prés,3,Avant 1946,meublé,29.6,35.5,20.7,PARIS,7510624
2022,9,70,Clignancourt,1,1946-1970,non meublé,26.1,31.32,18.27,PARIS,7511870
2019,11,48,Quinze-Vingts,1,1946-1970,non meublé,23.5,28.2,16.5,PARIS,7511248
2023,2,5,Gaillon,4,1946-1970,non meublé,23.6,28.3,16.5,PARIS,7510205
2024,2,21,Monnaie,3,Avant 1946,meublé,32.3,38.8,22.6,PARIS,7510621
2024,2,15,Arsenal,1,Apres 1990,non meublé,30.7,36.8,21.5,PARIS,7510415
2024,3,63,Porte-Dauphine,4,1946-1970,non meublé,25.5,30.6,17.9,PARIS,7511663
2020,10,49,Salpêtrière,1,Apres 1990,meublé,32.8,39.36,22.96,PARIS,7511349
2024,11,68,Epinettes,3,1971-1990,meublé,22.9,27.5,16.0,PARIS,7511768
2019,14,76,Combat,1,Avant 1946,meublé,28.8,34.6,20.2,PARIS,7511976
2019,10,49,Salpêtrière,2,Apres 1990,meublé,27.7,33.2,19.4,PARIS,7511349
2023,7,60,Javel 15Art,2,1946-1970,meublé,27.2,32.6,19.0,PARIS,7511560
2022,10,18,Jardin-des-Plantes,3,Avant 1946,meublé,27.2,32.64,19.04,PARIS,7510518
2023,10,55,Petit-Montrouge,1,1946-1970,non meublé,25.5,30.6,17.9,PARIS,7511455
2023,9,46,Picpus,2,1946-1970,meublé,24.5,29.4,17.2,PARIS,7511246
2024,2,16,Notre-Dame,4,1946-1970,meublé,27.2,32.6,19.0,PARIS,7510416
